ID	Concept	Concepticon_Gloss	Concepticon_ID	Proto_ID
gancho	hook	HOOK	1071	107_girardprototakanan
hormigacazadora	hormiga cazadora			405_girardprototakanan
hornanatomy	horn (anatomy)	HORN (ANATOMY)	1393	§230_oliveiraprotopanoan, 131_girardprototakanan
hot	hot	HOT	1286	§396_oliveiraprotopanoan, 229_girardprototakanan
hotheat	hot, heat			§17_oliveiraprotopanoan
house	house	HOUSE	1252	§424_oliveiraprotopanoan, 404_girardprototakanan
how	how	HOW	1239	
guaribaspeciesofmonkeyhowlermonkey	howler monkey	HOWLER MONKEY	433	§372_oliveiraprotopanoan
hoydiaahora	hoy día,ahora			211_girardprototakanan
huaracachiave	huaracachi (ave)			465_girardprototakanan
hummingbird	hummingbird	HUMMINGBIRD	1589	§330_oliveiraprotopanoan, 233_girardprototakanan
