ID	Concept	Concepticon_Gloss	Concepticon_ID	Proto_ID
thorn	thorn	THORN	124	§250_oliveiraprotopanoan
thou	thou	THOU	1215	§245_oliveiraprotopanoan, 72_girardprotopanotakanan
thread	thread	THREAD	1161	§371_oliveiraprotopanoan
threadlinerope	thread, line, rope			§507_oliveiraprotopanoan
threadrope	thread, rope			§370_oliveiraprotopanoan
three	three	THREE	492	
desgranar	thresh	THRESH	285	171_girardprototakanan
throat	throat	THROAT	1346	307_girardprototakanan
throw	throw	THROW	1456	50_girardprototakanan, 195_girardprototakanan
thunder	thunder	THUNDER	1150	
tie	tie	TIE	1917	§270_oliveiraprotopanoan, 372_girardprototakanan, 89_girardprotopanotakanan
tiernochico	tierno,chico			310_girardprototakanan
tierraarena	tierra,arena			281_girardprototakanan
tigrecillo	tigrecillo			225_girardprototakanan
tinamou	tinamou	TINAMOU	3921	§194_oliveiraprotopanoan
tipendpoint	tip (of object)	TIP (OF OBJECT)	2992	§155_oliveiraprotopanoan
tobringtosearch	to bring, to search			§69_oliveiraprotopanoan
todesigntopaint	to design, to paint			§153_oliveiraprotopanoan
todevour	to devour			§10_oliveiraprotopanoan
todrivefrombehind	to drive from behind			§126_oliveiraprotopanoan
toforgettolose	to forget, to lose			§72_oliveiraprotopanoan
togetbored	to get bored			§281_oliveiraprotopanoan
togetdrunkdrunk	to get drunk, drunk			§308_oliveiraprotopanoan
tohavefevertoheatupreflexive	to have fever, to heat up (reflexive)			§502a_oliveiraprotopanoan
tohitoneshead	to hit (one's) head			§231_oliveiraprotopanoan
toimpregnatetogivebirth	to impregnate, to give birth			§462_oliveiraprotopanoan
tolifttosuspend	to lift, to suspend			§377_oliveiraprotopanoan
tomaketokill	to make, to kill			§1_oliveiraprotopanoan
topeeloneselftochangeskin	to peel oneself, to change skin			§428_oliveiraprotopanoan
toplaytoabandon	to play, to abandon			§346_oliveiraprotopanoan
toputinsidetodive	to put inside, to dive			§260_oliveiraprotopanoan
tostringtogether	to string together			§156_oliveiraprotopanoan
tothreshthecorn	to thresh the corn			§406_oliveiraprotopanoan
towetwet	to wet, wet			§236_oliveiraprotopanoan
tobacco	tobacco	TOBACCO	974	§374_oliveiraprotopanoan, 446_girardprototakanan
toco	toco			466_girardprototakanan
tomorrow	tomorrow	TOMORROW	1329	
tongue	tongue	TONGUE	1205	§46_oliveiraprotopanoan, 12_girardprototakanan, 46_girardprotopanotakanan
tooth	tooth	TOOTH	1380	98_girardprototakanan, 96_girardprotopanotakanan
toothbeakofbird	tooth, beak of bird			§414_oliveiraprotopanoan
tortugapeta	tortuga,peta			132_girardprototakanan
tostar	tostar			51_girardprototakanan
toucan	toucan	TOUCAN	308	120_girardprototakanan, 83_girardprotopanotakanan
touch	touch	TOUCH	1892	§235_oliveiraprotopanoan
citysettlement	town	TOWN	1391	§492_oliveiraprotopanoan
townorvillage	town or village	TOWN OR VILLAGE	3609	
transsuffix	trans. suffix			1_girardprotopanotakanan
transitiveconcordancesuffix	transitive concordance suffix			§419_oliveiraprotopanoan
transitivizer	transitivizer			
transitivizingsuffix	transitivizing suffix			2_girardprototakanan
transivitizingandinstrumentalsuffixmainlypronominal	transivitizing (and instrumental) suffix, mainly pronominal			361_girardprototakanan
trapcatch	trap (catch)	TRAP (CATCH)	1170	
trappitfall	trap (pitfall)	TRAP (PITFALL)	1075	
tree	tree	TREE	906	8_girardprototakanan, 47_girardprotopanotakanan
treestump	tree stump	TREE STUMP	241	§99_oliveiraprotopanoan
treestick	tree, stick			§146_oliveiraprotopanoan
tronar	tronar			428_girardprototakanan
troncopierna	tronco,pierna			420_girardprototakanan
true	true	TRUE	1657	
totry	try	TRY	1812	§441_oliveiraprotopanoan
tucandera	tucandera			81_girardprototakanan
tuertogris	tuerto,gris			336_girardprototakanan
tumbar	tumbar			245_girardprototakanan
caerse	tumble (fall down)	TUMBLE (FALL DOWN)	2894	448_girardprototakanan
turiro	turiro			312_girardprototakanan
pavo	turkey	TURKEY	2386	413_girardprototakanan
turnaround	turn around	TURN AROUND	1444	
turtle	turtle	TURTLE	112	
totwisttoturntomoveincircles	twist (around)	TWIST (AROUND)	3199	§234_oliveiraprotopanoan
two	two	TWO	1498	§352_oliveiraprotopanoan, 61_girardprototakanan
typeofbank	type of bank			§152_oliveiraprotopanoan
typeofbasket	type of basket			§448_oliveiraprotopanoan
typeofbox	type of box			§97_oliveiraprotopanoan
typeofpot	type of pot			§181_oliveiraprotopanoan
typeofvenom	type of venom			§7_oliveiraprotopanoan
tabano	tábano			130_girardprototakanan
unladojuntoanteadelante	un lado,junto,ante,adelante			339_girardprototakanan
tio	uncle	UNCLE	1327	220_girardprototakanan, 55_girardprotopanotakanan
unclear	unclear			§280_oliveiraprotopanoan
unripe	unripe	UNRIPE	1958	§430_oliveiraprotopanoan
untie	untie	UNTIE	352	350_girardprototakanan
up	up	UP	1591	
upperlegthigh	upper leg (thigh)	UPPER LEG (THIGH)	471	§185_oliveiraprotopanoan
orina	urine	URINE	1142	477_girardprototakanan
urinetourinate	urine, to urinate			§144_oliveiraprotopanoan
uruburei	urubu rei			§28_oliveiraprotopanoan
urupecedazo	urupé (cedazo)			169_girardprototakanan
vaciar	vaciar			286_girardprototakanan
vagina	vagina	VAGINA	1836	
value	value			§197_oliveiraprotopanoan
vein	vein	VEIN	1924	§342_oliveiraprotopanoan
venanerviotendon	vena,nervio,tendón			382_girardprototakanan
venirandartirar	venir,andar,tirar			386_girardprototakanan
venirllegar	venir,llegar			354_girardprototakanan
ventear	ventear			52_girardprototakanan
verbalcausativesuffix	verbal causative suffix			§201_oliveiraprotopanoan
verbalimperativesuffix	verbal imperative suffix			§477_oliveiraprotopanoan
pueblo	village	VILLAGE	930	222_girardprototakanan
voice	voice	VOICE	1363	§299_oliveiraprotopanoan, 124_girardprototakanan
vomit	vomit	VOMIT	1278	§47_oliveiraprotopanoan
vulture	vulture	VULTURE	1185	§415_oliveiraprotopanoan
vulva	vulva	VULVA	1837	
cintura	waist	WAIST	1681	424_girardprototakanan
waitfor	wait (for)	WAIT (FOR)	1590	§213_oliveiraprotopanoan, 162_girardprototakanan
wakeup	wake up	WAKE UP	1602	
wakeupsomeone	wake up (someone)	WAKE UP (SOMEONE)	3174	
walk	walk	WALK	1443	
want	want	WANT	1784	§173_oliveiraprotopanoan, 57_girardprototakanan
warm	warm	WARM	1232	7_girardprotopanotakanan
wart	wart	WART	2665	§465_oliveiraprotopanoan
wash	wash	WASH	1453	§128_oliveiraprotopanoan, §307_oliveiraprotopanoan, 181_girardprototakanan
wasp	wasp	WASP	1517	23_girardprotopanotakanan
water	water	WATER	948	451_girardprototakanan, 75_girardprotopanotakanan
waterriver	water, river			§468_oliveiraprotopanoan
aguado	watery	WATERY	3545	305_girardprototakanan
wave	wave	WAVE	978	§74_oliveiraprotopanoan
cera	wax	WAX	3942	476_girardprototakanan
we	we	WE	1212	§283_oliveiraprotopanoan, 151_girardprototakanan
arma	weapons	WEAPONS	951	284_girardprototakanan
towearclothes	wear	WEAR	976	§380_oliveiraprotopanoan, 480_girardprototakanan
weave	weave	WEAVE	133	110_girardprototakanan
weigh	weigh	WEIGH	1098	440_girardprototakanan
pozo	well	WELL	954	207_girardprototakanan
wet	wet	WET	1726	305_girardprototakanan, 29_girardprotopanotakanan
what	what	WHAT	1236	§53_oliveiraprotopanoan, 3_girardprototakanan
when	when	WHEN	1238	
where	where	WHERE	1237	
towhisper	whisper	WHISPER	55	§64_oliveiraprotopanoan
whistle	whistle	WHISTLE	1025	445_girardprototakanan
white	white	WHITE	1335	§306_oliveiraprotopanoan, 335_girardprototakanan, 49_girardprotopanotakanan
who	who	WHO	1235	§115_oliveiraprotopanoan, 3_girardprototakanan
wide	wide	WIDE	1243	§263_oliveiraprotopanoan
wife	wife	WIFE	1199	
wind	wind	WIND	960	§282_oliveiraprotopanoan, 52_girardprototakanan
wing	wing	WING	1257	306_girardprototakanan
wingfeather	wing, feather			§325_oliveiraprotopanoan
withinpossessionof	with	WITH	1340	§490_oliveiraprotopanoan, 325_girardprototakanan
woman	woman	WOMAN	962	14_girardprototakanan, 5_girardprotopanotakanan
womanoldwoman	woman, old woman			§512_oliveiraprotopanoan
womanwife	woman, wife			§9a_oliveiraprotopanoan
wood	wood	WOOD	1803	
workactivity	work (activity)	WORK (ACTIVITY)	1086	
mundo	world	WORLD	965	23_girardprototakanan
worm	worm	WORM	1219	104_girardprototakanan, 439_girardprototakanan, 98_girardprotopanotakanan
wound	wound	WOUND	1109	
envolver	wrap	WRAP	1113	140_girardprototakanan
wrinkled	wrinkled	WRINKLED	380	
write	write	WRITE	1672	
yacamiave	yacamí (ave)			388_girardprototakanan
yam	yam	YAM	410	§171_oliveiraprotopanoan
toyawn	yawn	YAWN	1028	§394_oliveiraprotopanoan
year	year	YEAR	1226	
yellow	yellow	YELLOW	1424	§319_oliveiraprotopanoan
yes	yes	YES	1268	150_girardprototakanan
yesterday	yesterday	YESTERDAY	1174	
you	you	YOU	1213	§246a_oliveiraprotopanoan, 292_girardprototakanan
young	young	YOUNG	1207	
youngman	young man	YOUNG MAN	76	
youngwoman	young woman	YOUNG WOMAN	77	§434_oliveiraprotopanoan
youngerbrother	younger brother	YOUNGER BROTHER	1760	178_girardprototakanan
youngersister	younger sister	YOUNGER SISTER	1761	178_girardprototakanan
zapayojoco	zapayo,joco			214_girardprototakanan
zumaquiarbol	zumaqui (árbol)			200_girardprototakanan
zurcirfrunzar	zurcir,frunzar			372_girardprototakanan
arbolconfrutoquesecomen	árbol con fruto que se comen			323_girardprototakanan
arboldesiringa	árbol de siringa			271_girardprototakanan
gettinginfected	getting infected			
makenoise	make noise			
current	current			
snakesurround	snake, to surround			
grindaxe	axe, to grind			
sharptip	sharp, tip			
surround	surround			
pathlake	path, lake			
