ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
mujerhembra,female,1551,FEMALE,359_girardprototakanan
few,few,1242,FEW,
field,field,212,FIELD,§467_oliveiraprotopanoan
fight,fight,1423,FIGHT,
fill,fill,2006,FILL,387_girardprototakanan
find,find,719,FIND,125_girardprototakanan
finger,finger,1303,FINGER,§243_oliveiraprotopanoan
fingernail,fingernail,1258,FINGERNAIL,§238_oliveiraprotopanoan
una,fingernail or toenail,1896,FINGERNAIL OR TOENAIL,"423_girardprototakanan, 28_girardprotopanotakanan"
finish,finish,1766,FINISH,"§182_oliveiraprotopanoan, 1_girardprototakanan, 427_girardprototakanan"
fire,fire,221,FIRE,"§124_oliveiraprotopanoan, 419_girardprototakanan, 30_girardprotopanotakanan"
firefly,firefly,206,FIREFLY,§190_oliveiraprotopanoan
firewood,firewood,10,FIREWOOD,"§172_oliveiraprotopanoan, 229_girardprototakanan"
first,first,728,FIRST,244_girardprototakanan
fish,fish,227,FISH,"§496_oliveiraprotopanoan, 377_girardprototakanan"
barbasco,fish poison,348,FISH POISON,"4_girardprototakanan, 3_girardprotopanotakanan"
espinas,fishbone,3799,FISHBONE,250_girardprototakanan
fishhook,fishhook,1074,FISHHOOK,§248_oliveiraprotopanoan
puno,fist,1473,FIST,352_girardprototakanan
flat,flat,1633,FLAT,
flee,flee,956,FLEE,
flesh,flesh,2259,FLESH,
carnecuerpo,flesh or meat,2615,FLESH OR MEAT,362_girardprototakanan
float,float,1574,FLOAT,
flour,flour,1594,FLOUR,
flow,flow,2003,FLOW,
flower,flower,239,FLOWER,§297_oliveiraprotopanoan
flute,flute,777,FLUTE,39_girardprotopanotakanan
flyinsect,fly (insect),1504,FLY (INSECT),471_girardprototakanan
flymovethroughair,fly (move through air),1441,FLY (MOVE THROUGH AIR),§295_oliveiraprotopanoan
foam,foam,1768,FOAM,"§60_oliveiraprotopanoan, 443_girardprototakanan"
fog,fog,249,FOG,
andar,fold,1470,FOLD,319_girardprototakanan
follow,follow,1085,FOLLOW,
food,food,256,FOOD,"§337_oliveiraprotopanoan, 206_girardprototakanan"
foot,foot,1301,FOOT,"§436_oliveiraprotopanoan, 454_girardprototakanan, 50_girardprotopanotakanan"
piepierna,foot or leg,2098,FOOT OR LEG,"93_girardprototakanan, 103_girardprotopanotakanan"
footprint,footprint,318,FOOTPRINT,
forehead,forehead,123,FOREHEAD,
forest,forest,420,FOREST,§274_oliveiraprotopanoan
forget,forget,1523,FORGET,
friend,friend,1325,FRIEND,21_girardprototakanan
frog,frog,503,FROG,"85_girardprototakanan, 469_girardprototakanan"
fruit,fruit,1507,FRUIT,"§91_oliveiraprotopanoan, 200_girardprototakanan"
freir,fry,991,FRY,229_girardprototakanan
full,full,1429,FULL,
fur,fur,580,FUR,§432_oliveiraprotopanoan
basura,garbage,909,GARBAGE,76_girardprototakanan
gather,gather,7,GATHER,§269_oliveiraprotopanoan
genipa,genipa,3920,GENIPA,§259_oliveiraprotopanoan
get,get,694,GET,21_girardprotopanotakanan
getlost,get lost,423,GET LOST,
gettired,get tired,1996,GET TIRED,
togetwetbewet,get wet,2324,GET WET,74_girardprotopanotakanan
ghost,ghost,1175,GHOST,§511_oliveiraprotopanoan
girl,girl,1646,GIRL,
give,give,1447,GIVE,"§20_oliveiraprotopanoan, 421_girardprototakanan, 9_girardprotopanotakanan"
givebirth,give birth,1195,GIVE BIRTH,
go,go,695,GO,"227_girardprototakanan, 58_girardprotopanotakanan"
godowndescend,go down (descend),2014,GO DOWN (DESCEND),"78_girardprototakanan, 26_girardprotopanotakanan"
goout,go out,1107,GO OUT,253_girardprototakanan
goupascend,go up (ascend),705,GO UP (ASCEND),"§18b_oliveiraprotopanoan, §218_oliveiraprotopanoan"
good,good,1035,GOOD,"§383_oliveiraprotopanoan, 378_girardprototakanan"
grano,grain,605,GRAIN,115_girardprototakanan
abuelo,grandfather,1383,GRANDFATHER,33_girardprototakanan
nietanieto,grandson,1618,GRANDSON,441_girardprototakanan
tograspbreak,grasp,2021,GRASP,109_girardprotopanotakanan
grass,grass,606,GRASS,§474_oliveiraprotopanoan
grasshopper,grasshopper,607,GRASSHOPPER,§121_oliveiraprotopanoan
rallarraspar,grate (something),3114,GRATE (SOMETHING),369_girardprototakanan
cascajo,gravel,3028,GRAVEL,264_girardprototakanan
green,green,1425,GREEN,"82_girardprotopanotakanan, 115_girardprotopanotakanan"
gray,grey,153,GREY,56_girardprotopanotakanan
grind,grind,1033,GRIND,§364_oliveiraprotopanoan
groundnut,groundnut (peanut),595,GROUNDNUT (PEANUT),§439_oliveiraprotopanoan
grow,grow,479,GROW,"§510_oliveiraprotopanoan, 300_girardprototakanan"
jacuspeciesofbird,guan,437,GUAN,§149_oliveiraprotopanoan
