ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
cavinena-creceragrandar-3,,cavinena,creceragrandar,ari-da-ma,ari-da-ma,a r i + d a + m a,None,,6006,,,,5593,( - - - - - - - ) a r i ( + - - - - - - d a + m a - - - ),,girardprototakanan
eseejja-creceragrandar-1,,eseejja,creceragrandar,babaʔ-ai,babaʔ-ai,b a b a ʔ + a i,None,,6006,,,,5593,( b a b a ʔ + - ) a - i ( - - - - - - - - - - - - - - - ),,girardprototakanan
eseejja-creceragrandar-2,,eseejja,creceragrandar,ai-ai,ai-ai,a i + a i,None,,6006,,,,5593,( - - - - - - - ) a - i ( + a i - - - - - - - - - - - - ),,girardprototakanan
prototakana-shoulder-1,,prototakana,shoulder,ařa-,ařa-,a ɽ a,None,,6007,,,,5594,( - - - - ) a ɽ a ( - - - - - ),,girardprototakanan
tacana-shoulder-2,,tacana,shoulder,y-ara-pa,y-ara-pa,j + a r a + p a,None,,6007,,,,5594,( j - - + ) a r a ( + p a - - ),,girardprototakanan
warisa-shoulder-1,,warisa,shoulder,y-ara,y-ara,j + a r a,None,,6007,,,,5594,( j - - + ) a r a ( - - - - - ),,girardprototakanan
cavinena-shoulder-2,,cavinena,shoulder,y-ara-kaka,y-ara-kaka,j + a r a + k a k a,None,,6007,,,,5594,( j - - + ) a r a ( + k a k a ),,girardprototakanan
cavinena-shoulder-3,,cavinena,shoulder,y-ara,y-ara,j + a r a,None,,6007,,,,5594,( j - - + ) a r a ( - - - - - ),,girardprototakanan
cavinena-shoulder-4,,cavinena,shoulder,y-ara-pasa,y-ara-pasa,j + a r a + p a s a,None,,6007,,,,5594,( j - - + ) a r a ( + p a s a ),,girardprototakanan
cavinena-shoulder-5,,cavinena,shoulder,tim-ara-ke,tim-ara-ke,t i m + a r a + k e,None,,6007,,,,5594,( t i m + ) a r a ( + k e - - ),,girardprototakanan
prototakana-grillo-1,,prototakana,grillo,asari,asari,a s a r i,None,,6008,,,,5595,a s a r i,,girardprototakanan
tacana-grillo-1,,tacana,grillo,asai,asai,a s a i,None,,6008,,,,5595,a s a - i,,girardprototakanan
cavinena-grillo-1,,cavinena,grillo,ahari,ahari,a h a r i,None,,6008,,,,5595,a h a r i,,girardprototakanan
prototakana-alacran-1,,prototakana,alacran,asi,asi,a s i,None,,6009,,,,5596,a s i ( - - - ),,girardprototakanan
tacana-alacran-1,,tacana,alacran,asi,asi,a s i,None,,6009,,,,5596,a s i ( - - - ),,girardprototakanan
cavinena-alacran-1,,cavinena,alacran,ahi-pa,ahi-pa,a h i + p a,None,,6009,,,,5596,a h i ( + p a ),,girardprototakanan
eseejja-alacran-1,,eseejja,alacran,ahi,ahi,a h i,None,,6009,,,,5596,a h i ( - - - ),,girardprototakanan
prototakana-friend-1,,prototakana,friend,ata,ata,a t a,None,,6010,,,,5597,( - - ) a t a ( - - - - - - - - - - ),,girardprototakanan
